Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
0,100,162,1,1.0,0.013747857,1,6.632602488,1.727726945,162.0639536,4.158502378,4
1,100,162,1,0.975,0.026354182,1,6.633190756,1.732665361,162.0922206,4.324866139999999,4
2,100,162,1,1.025,0.001349974,1,6.633252712,1.732704075,162.0940174,4.324981473999999,4
3,100,162,1,0.95,0.03935426,1,6.88041013,1.755134758,162.0734898,4.591293926,4
4,100,162,1,1.05,-0.010619218,1,6.882864007,1.756061825,162.0602141,4.594116024000001,4
5,100,162,1,0.925,0.052372832,1,7.486432955,1.790220056,162.0840683,5.023838222999999,4
6,100,162,1,1.075,-0.022618234,1,7.487072727,1.790485739,162.0797895,5.024546102,4
7,100,162,1,0.9,0.065431893,1,8.093529356,1.839794534,162.0871517,5.529005420000001,4
8,100,162,1,1.1,-0.034493751,1,8.098111027,1.841751527,162.0532415,5.536088602,4
9,100,162,1,0.875,0.078504289,1,8.698908068,1.902634954,162.1036328,6.034215957000001,4
10,100,162,1,1.125,-0.04639244,1,8.705817624,1.905513266,162.0509561,6.044635270000001,4
11,100,162,1,0.85,0.091896651,1,9.320479435,1.986010851,161.9917119,6.637437079,4
12,100,162,1,1.15,-0.058260751,1,9.313441238,1.982694685,162.0491829,6.625947372,4
13,100,162,1,0.825,0.105170912,1,9.933442611,2.078378854,161.9442999,7.314528742999999,4
14,100,162,1,1.175,-0.070144676,1,9.918617306,2.07157919,162.0674394,7.288708709,4
15,100,162,1,0.8,0.118375431,1,10.54013092,2.180079916,161.9467175,8.069430491999999,4
16,100,162,1,1.2,-0.081973932,1,10.52485699,2.172972502,162.0778097,8.041573589999999,4
17,100,162,1,0.775,0.131601743,1,11.14582971,2.292552335,161.9578982,8.917481921,4
18,100,162,1,1.225,-0.093671339,1,11.13493247,2.287381935,162.0551471,8.891983824,4
19,100,162,1,0.75,0.144911425,1,11.75297708,2.416093845,161.956739,9.860117681999998,4
20,100,162,1,1.25,-0.105421157,1,11.74086801,2.410239025,162.0685161,9.831391286000002,4
21,100,162,1,0.725,0.15831458,1,12.36135657,2.549837397,161.9439273,10.905040929999998,4
22,100,162,1,1.275,-0.117013273,1,12.35060341,2.544519098,162.0470278,10.880624475,4
23,100,162,1,0.7,0.171733214,1,12.96801267,2.691602023,161.9467424,12.050503072,4
24,100,162,1,1.3,-0.128587231,1,12.95866066,2.686843401,162.0402856,12.030821436,4
25,100,162,1,0.675,0.185252228,1,13.57547057,2.841943105,161.9417129,13.306745826,4
