Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
58,100,162,1.725,1,0.327670825,0,20.03308666,8.672100581,129.6361553,52.698238103,4
59,100,162,0.25,1,-0.276783144,1,17.04045979,4.300066805,162.1108812,23.873404760000003,6
60,100,162,1.75,1,0.327820529,0,21.15570804,8.986317549,129.6212409,58.693339919,4
61,100,162,0.225,1,-0.27931943,1,17.80542995,4.58228095,162.2153463,26.904078614000003,6
62,100,162,1.775,1,0.327933106,0,22.28010016,9.3066487,129.6100254,65.228901698,4
63,100,162,0.2,1,0.509385478,0,27.30020047,8.712845051,141.8238338,86.167577288,8
64,100,162,1.8,1,0.328008455,0,23.40626302,9.632273549,129.6025186,72.29898690499999,4
65,100,162,0.175,1,0.327856677,0,25.26591057,8.285304942,129.7006978,72.619696337,6
66,100,162,1.825,1,0.328046475,0,24.53419663,9.962463962,129.5987308,79.91522754299999,4
67,100,162,0.15,1,0.328626451,0,24.51817346,8.154808479,129.624218,68.036280492,6
68,100,162,1.85,1,0.328047065,0,25.663901,10.29657283,129.5986719,88.130111403,4
69,100,162,0.125,1,0.329338045,0,23.77186812,8.024011384,129.553521,63.71012927900001,6
70,100,162,1.875,1,0.328010124,0,26.79537613,10.63402383,129.6023521,96.931897314,4
71,100,162,0.1,1,1.0,0,10.35369942,2.800930977,48.14358346,7.757714038,6
72,100,162,1.9,1,0.32793555,0,27.92862202,10.97430236,129.6097815,106.335756949,4
73,100,162,0.075,1,1.0,0,11.01379642,2.899033964,57.46326656,9.160914163,6
74,100,162,1.925,1,0.327823242,0,29.06363866,11.31694751,129.6209703,116.364048489,4
75,100,162,0.05,1,1.0,0,11.94312071,3.157524019,68.5733773,11.385319513,6
76,100,162,1.95,1,0.327673097,0,30.20042604,11.66154502,129.6359285,127.036862239,4
77,100,162,0.025,1,1.0,0,13.08467223,3.565691825,81.09383486,14.432308278,6
78,100,162,1.975,1,0.327485014,0,31.33898414,12.00772114,129.6546665,138.355606389,4
79,100,162,0.0,1,1.0,0,14.39773998,4.103669303,94.75317415,18.533524625,4
80,100,162,0.63092,1,-0.152100851,1,5.418745173,1.361541999,162.0418332,2.3559610600000003,8
81,100,162,0.41919,1,-0.234193717,1,11.95070532,2.623226831,161.9784552,9.510142196,6
82,100,162,1.32661,1,0.193789179,1,5.29443222,1.309034756,161.9492941,2.152105494,8
83,100,162,0.94889,1,-0.01115742,1,6.37972752,1.70036104,162.0747811,3.7347351290000006,4
84,100,162,1.09103,1,0.060823693,1,6.198902146,1.647961708,162.0882589,3.2480331950000005,4
85,100,162,0.63536,1,-0.150106439,1,5.284560285,1.352650356,162.0349241,2.2855521590000003,8
86,100,162,1.39024,1,0.228275834,1,5.992008668,1.646422478,161.97104,2.856345299,8
87,100,162,0.89144,1,-0.038531801,1,6.120804098,1.618334179,162.0913725,3.030620539,4
88,100,162,0.1937,1,0.503609584,0,26.68508689,8.508250132,138.9848638,81.266237188,8
89,100,162,0.13185,1,0.329148479,0,23.97619812,8.059741634,129.5723539,64.878231038,6
90,100,162,0.41893,1,-0.233339613,1,11.91546737,2.621918654,161.6802746,9.46318904,6
91,100,162,0.8232,1,-0.070674087,1,5.83111312,1.482848956,162.0848035,2.190897852,4
92,100,162,1.33262,1,0.197149282,1,5.277332449,1.313643699,161.9387588,2.166329737,8
93,100,162,0.20015,1,0.516600531,0,27.30115029,8.723336334,141.8097203,86.257077126,8
94,100,162,0.65708,1,-0.140487417,1,5.213308986,1.31785486,162.0453882,2.179291886,8
95,100,162,1.0196,1,0.023667682,1,6.531608466,1.723828893,162.0552942,4.019730471,4
96,100,162,1.42141,1,0.246120875,1,6.936316749,1.682464337,161.9800354,3.41997679,8
97,100,162,1.41855,1,0.244456469,1,6.849912191,1.677147376,161.9811016,3.364311131,8
98,100,162,0.26039,1,-0.275875319,1,16.72543001,4.183443789,162.0884063,22.688200469,6
99,100,162,1.21987,1,0.135809069,1,5.694979187,1.405764607,161.9239302,2.061702592,8
100,100,162,0.28928,1,-0.271554739,1,15.85171873,3.868990587,162.0405095,19.639162924,6
101,100,162,1.42628,1,0.248813926,1,7.085989654,1.692410584,161.9969252,3.5195033250000005,8
102,100,162,1.06474,1,0.047040831,1,6.314600102,1.684414845,162.0920982,3.567898991,4
103,100,162,1.33461,1,0.198213777,1,5.268117189,1.314743744,161.9482103,2.169636841,8
104,100,162,0.4269,1,-0.237041927,1,11.49308644,2.487793308,161.8420379,8.633931775,8
105,100,162,1.23039,1,0.141445172,1,5.651658332,1.386122276,161.9313575,2.060157694,8
106,100,162,1.21764,1,0.134619341,1,5.704568398,1.410153003,161.9210723,2.062564978,8
107,100,162,1.38833,1,0.321993051,0,11.34661402,5.00904008,130.2813465,15.412354519999996,4
108,100,162,0.47381,1,-0.218256502,1,10.09852351,2.145259901,161.9120832,6.51774799,8
109,100,162,0.7907,1,-0.079588543,1,5.698598933,1.416383759,162.0818079,2.040803125,8
110,100,162,0.91292,1,-0.028304488,1,6.21838375,1.654554131,162.0772125,3.297333989,4
111,100,162,1.39059,1,0.228417625,1,6.004045499,1.646513145,161.9813767,2.861802583,8
112,100,162,1.34302,1,0.202855303,1,5.239323924,1.322943419,161.9527836,2.1893935419999995,8
113,100,162,1.06942,1,0.049543799,1,6.299756593,1.680104057,162.0663744,3.51641917,4
114,100,162,1.31786,1,0.188992547,1,5.326047938,1.305817632,161.9423097,2.135680406,8
115,100,166,1.0,1,0.013282307,1,6.029717163,1.560917613,166.0882759,3.517611564,4
116,100,166,0.975,1,0.001010293,1,5.922042976,1.555862533,166.0579347,3.3611806520000003,4
117,100,166,1.025,1,0.026011411,1,5.922144851,1.555886404,166.0573995,3.361150852,4
118,100,166,0.95,1,-0.011092178,1,5.812291476,1.535629932,166.0961218,3.138397366,4
119,100,166,1.05,1,0.038982921,1,5.820904824,1.537778555,166.0597296,3.1455248150000004,4
120,100,166,0.925,1,-0.022984245,1,5.719852561,1.508869501,166.0748413,2.8555762300000005,4
121,100,166,1.075,1,0.0520011,1,5.718766191,1.508618597,166.0814396,2.855131305,4
122,100,166,0.9,1,-0.034920563,1,5.619978634,1.471838312,166.0929612,2.562876302,4
123,100,166,1.1,1,0.065166267,1,5.629752764,1.474354123,166.0536869,2.570670252,4
124,100,166,0.875,1,-0.046742136,1,5.529264442,1.43096121,166.0790018,2.273534367,4
125,100,166,1.125,1,0.07808826,1,5.510696951,1.426140333,166.1645246,2.258278493,4
126,100,166,0.85,1,-0.05849579,1,5.442060983,1.387235588,166.0576586,1.986170612,4
127,100,166,1.15,1,0.091603086,1,5.450011796,1.389200664,166.0355098,1.991106822,4
128,100,166,0.825,1,-0.066132697,1,5.344712248,1.339658121,166.1070509,1.74948132,8
129,100,166,1.175,1,0.108575994,1,5.386348696,1.350694984,165.8965402,1.7720812389999998,8
130,100,166,0.8,1,-0.075695765,1,5.263905828,1.298712751,166.0573184,1.7848772490000002,8
131,100,166,1.2,1,0.124582342,1,5.289822152,1.305284392,165.9527264,1.7962152980000003,8
132,100,166,0.775,1,-0.087284107,1,5.181835291,1.262751456,166.043658,1.80809511,8
133,100,166,1.225,1,0.137960665,1,5.203763255,1.26817925,165.9563712,1.816924025,8
134,100,166,0.75,1,-0.09892896,1,5.091737533,1.234239229,166.0731281,1.836879442,8
135,100,166,1.25,1,0.151484696,1,5.127116529,1.24264143,165.9341284,1.849862154,8
136,100,166,0.725,1,-0.110373087,1,5.015571734,1.222504163,166.0589148,1.8823575290000003,8
137,100,166,1.275,1,0.164962524,1,5.043180293,1.228683995,165.952511,1.889901377,8
138,100,166,0.7,1,-0.121747197,1,4.941670913,1.228409276,166.0495779,1.935921062,8
139,100,166,1.3,1,0.177565735,1,4.978507441,1.587143219,165.9384066,2.2064570009999995,8
140,100,166,0.675,1,-0.133105818,1,4.865883378,1.25424137,166.0614851,2.008329621,8
141,100,166,1.325,1,0.191353728,1,4.904777663,1.552268094,165.9438075,2.2308589010000004,8
142,100,166,0.65,1,-0.144267854,1,5.446202587,1.304422784,166.0466932,2.294944324,8
143,100,166,1.35,1,0.205224579,1,5.383126739,1.540602499,165.9551822,2.446278041,8
144,100,166,0.625,1,-0.15619671,1,6.152515511,1.554963008,166.0493314,2.837266773,8
145,100,166,1.375,1,0.219177407,1,6.141328032,1.555763906,165.9737194,2.830937382,8
146,100,166,0.6,1,-0.167009676,1,6.90558821,1.599767168,166.0320383,3.3214112850000004,8
147,100,166,1.4,1,0.233400662,1,6.898477804,1.600191221,165.9688361,3.312577405,8
148,100,166,0.575,1,-0.177684455,1,7.660662898,1.674036712,166.0172094,3.87543288,8
149,100,166,1.425,1,0.247587932,1,7.65664818,1.674418681,165.9990961,3.874038783,8
150,100,166,0.55,1,-0.18821843,1,8.414308765,1.777001607,166.0035418,4.549454025999999,8
151,100,166,1.45,1,0.261966057,1,8.420368715,1.777871764,166.0418991,4.555964935,8
152,100,166,0.525,1,-0.198498736,1,9.166796178,1.906854484,165.9798408,5.3391544490000005,8
153,100,166,1.475,1,0.276454832,1,9.187061488,1.908894766,166.1210937,5.356317139,8
154,100,166,0.5,1,-0.208673132,1,9.919012895,2.060594813,165.9540498,6.226585573,8
155,100,166,1.5,1,0.332514131,0,13.41335819,6.166487652,133.1606095,23.047976672,4
156,100,166,0.475,1,-0.218390697,1,10.66912674,2.23702008,165.910851,7.259574664000001,8
157,100,166,1.525,1,0.333005042,0,13.03649363,6.363934941,133.1117031,23.29247741,4
158,100,166,0.45,1,-0.229154597,1,11.41522801,2.424296645,165.8702469,8.441273917,8
159,100,166,1.55,1,0.333459746,0,13.14068526,6.582421387,133.0664037,24.464460169,4
160,100,166,0.425,1,-0.231992377,1,12.33558943,2.704094224,165.6686315,10.238834339,6
161,100,166,1.575,1,0.333878146,0,13.57698514,6.819654817,133.024721,26.32721295,4
162,100,166,0.4,1,-0.240815543,1,13.06541539,2.915032701,165.6056387,11.8284494,6
163,100,166,1.6,1,0.334260141,0,14.68849786,7.073483836,132.9866649,29.638530205,4
164,100,166,0.375,1,-0.250350208,1,13.87195406,3.153970176,165.9894715,13.739729694,6
165,100,166,1.625,1,0.334605634,0,15.80178149,7.341926745,132.9522453,33.335061482,4
166,100,166,0.35,1,-0.257765762,1,14.61864636,3.395965898,165.9675452,15.734760939,6
167,100,166,1.65,1,0.334914525,0,16.91683607,7.623183777,132.9214722,37.460192995,4
168,100,166,0.325,1,-0.26494308,1,15.37527551,3.646999048,166.0138951,17.957710526,6
169,100,166,1.675,1,0.335186713,0,18.03366162,7.915637337,132.8943555,42.04093476499999,4
170,100,166,0.3,1,-0.270854676,1,16.12826242,3.907326259,166.0348614,20.384539858,6
171,100,166,1.7,1,0.3354221,0,19.15225819,8.217844344,132.870905,47.115997913,4
172,100,166,0.275,1,-0.275654978,1,16.8845213,4.176792015,166.0780325,23.060980717,6
173,100,166,1.725,1,0.335620586,0,20.2726258,8.528523898,132.8511309,52.681997439,4
174,100,166,0.25,1,-0.278312033,1,17.63984302,4.45692241,166.1135268,25.999166134,6
175,100,166,1.75,1,0.335782069,0,21.39476446,8.84654262,132.835043,58.755587649000006,4
176,100,166,0.225,1,-0.281161959,1,18.4067165,4.741056488,166.2311405,29.195133423,6
177,100,166,1.775,1,0.335906451,0,22.5186742,9.170899241,132.8226513,65.357922145,4
178,100,166,0.2,1,0.517907643,0,27.38360398,8.748331603,142.3976823,86.906400422,8
179,100,166,1.8,1,0.33599363,0,23.64435504,9.500709518,132.813966,72.517850401,4
180,100,166,0.175,1,0.491572127,0,25.81284822,8.178979995,136.9195568,74.391329079,8
181,100,166,1.825,1,0.336043506,0,24.77180697,9.835192024,132.808997,80.230540514,4
182,100,166,0.15,1,0.336839399,0,25.01131388,8.360330037,132.8149924,71.70613177,6
183,100,166,1.85,1,0.336055977,0,25.90103002,10.17365516,132.8077545,88.53715709400001,4
184,100,166,0.125,1,0.337534024,0,24.2655317,8.228146916,132.7459828,67.21733743899999,6
185,100,166,1.875,1,0.336030942,0,27.03202418,10.51548549,132.8102485,97.433497882,4
186,100,166,0.1,1,1.0,0,10.68740336,2.882483474,50.36991601,8.347951665,6
187,100,166,1.9,1,0.3359683,0,28.16478946,10.86013742,132.8164892,106.944206962,4
188,100,166,0.075,1,1.0,0,11.41098759,3.004229361,60.11316726,9.935363712,6
189,100,166,1.925,1,0.335867949,0,29.29932584,11.20712415,132.8264866,117.083678356,4
190,100,166,0.05,1,1.0,0,12.38968598,3.282160846,71.55277755,12.375300448,6
191,100,166,1.95,1,0.335729788,0,30.43563332,11.55600974,132.840251,127.87651937500002,4
192,100,166,0.025,1,1.0,0,13.57289323,3.705518041,84.35129925,15.664202534,6
193,100,166,1.975,1,0.335553714,0,31.57371189,11.90640227,132.8577925,139.324460102,4
194,100,166,0.0,1,1.0,0,14.92253073,4.255181866,98.25481455,20.080036789,4
195,100,166,0.47832,1,-0.217166329,1,10.56937767,2.212086845,165.9170097,7.112107148000001,8
196,100,166,0.14236,1,0.337057446,0,24.78323468,8.319852928,132.7933293,70.314651102,6
197,100,166,0.14284,1,0.337043897,0,24.7975599,8.322395299,132.7946755,70.39945945800001,6
198,100,166,0.28496,1,-0.273704129,1,16.58096324,4.068604345,166.0451141,21.963667818,6
199,100,166,1.22305,1,0.13697364,1,5.215595703,1.272057198,165.9351664,1.817130302,8
200,100,166,0.10808,1,0.3379501,0,23.83850325,8.079975961,132.7046379,64.314092802,6
201,100,166,1.23816,1,0.145079893,1,5.163914306,1.253454563,165.9411391,1.832479138,8
202,100,166,1.04761,1,0.037724099,1,5.828871917,1.539595525,166.065515,3.1715391429999995,4
203,100,166,0.212,1,0.520745799,0,28.91716064,9.23022245,150.2141218,99.795682868,8
204,100,166,1.39951,1,0.233017292,1,6.883789428,1.599012358,165.9846386,3.302496356,8
205,100,166,0.35506,1,-0.256354634,1,14.46804559,3.346241612,165.9756297,15.311000479,6
206,100,166,0.22424,1,-0.279548954,1,18.43057254,4.755828726,166.2351725,29.333193143,6
207,100,166,1.49387,1,0.332388244,0,13.50566283,6.12155666,133.1731509,23.014270928,4
208,100,166,1.13491,1,0.083466522,1,5.490407875,1.412809143,166.0926368,2.155665856,4
209,100,166,0.37294,1,-0.249561632,1,13.85999659,3.162667306,165.4914402,13.745266236,6
210,100,166,1.3878,1,0.226401861,1,6.528702708,1.574801423,165.976961,3.064647443,8
211,100,166,1.09628,1,0.063204578,1,5.642933748,1.4798816,166.0576857,2.613181767,4
212,100,166,0.46763,1,-0.221635124,1,10.96975713,2.291159798,165.9297418,7.688900179999999,8
213,100,166,1.49721,1,0.332457104,0,13.45537461,6.145861086,133.1662908,23.030746446,4
214,100,166,0.37124,1,-0.250070457,1,13.90991412,3.178674498,165.4841923,13.866063995,6
215,100,166,0.91368,1,-0.028414946,1,5.672148318,1.492386282,166.0927477,2.721179856,4
216,100,166,0.32099,1,-0.265763464,1,15.49327992,3.688314934,165.9980738,18.330020071,6
217,100,166,0.73352,1,-0.106478168,1,5.041484553,1.224748887,166.0624545,1.865400473,8
218,100,166,0.95712,1,-0.007659796,1,5.843096431,1.542518599,166.0837219,3.2213916300000003,4
219,100,166,0.60463,1,-0.164965192,1,6.764692815,1.589323987,166.0252982,3.219569366,8
220,100,166,0.26498,1,-0.27716865,1,17.18840648,4.287439072,166.1005475,24.208270858,6
221,100,166,1.10499,1,0.067723728,1,5.604079785,1.464682215,166.082238,2.507078819,4
222,100,166,1.14257,1,0.087575856,1,5.466325034,1.399914466,166.0850471,2.068825292,4
223,100,166,0.55935,1,-0.184326508,1,8.131677719,1.735156473,166.0124553,4.2804617910000005,8
224,100,166,1.1842,1,0.1162503,1,5.354091664,1.334299551,165.9151431,1.790038622,8
225,100,166,1.49585,1,0.332429143,0,13.4758527,6.135913314,133.1690764,23.023826715,4
226,100,166,0.39372,1,-0.242922724,1,13.25206739,2.971959862,165.5942019,12.260321016,6
227,100,166,0.48565,1,-0.214258543,1,10.34947734,2.159421718,165.9300533,6.799946351,8
228,100,166,0.45392,1,-0.229354485,1,11.20782168,2.37101507,166.0165291,8.106481416000001,8
229,100,166,0.67794,1,-0.131786729,1,4.873685585,1.249858128,166.0634349,1.999181011,8
230,100,166,0.9329,1,-0.019169585,1,5.755613966,1.51997727,166.0526316,2.950782015,4
231,100,170,1.0,1,0.012935394,1,5.438343489,1.398870152,170.0662226,2.9410630829999995,4
232,100,170,0.975,1,0.00056599,1,5.333814503,1.391168609,170.0838135,2.789777701,4
233,100,170,1.025,1,0.025568262,1,5.334068122,1.391231455,170.0827067,2.789915809,4
234,100,170,0.95,1,-0.011471967,1,5.247074353,1.373817926,170.0879085,2.582058007,4
235,100,170,1.05,1,0.038598343,1,5.25522285,1.375885182,170.0540334,2.588584061,4
236,100,170,0.925,1,-0.023409735,1,5.165499283,1.347756269,170.0833202,2.308983007,4
