Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
7186,200,162,1.275,1,0.193997061,1,6.834559807,1.73739925,161.9402187,3.001592275,8
7187,900,186,1.2,1,0.321689335,1,13.83210196,5.67880534,185.9282155,20.946724728,8
7188,600,182,0.675,1,0.006078993,1,10.67175273,4.044398588,182.0768416,12.121663782000002,6
7189,100,218,1.25,1,0.153285159,1,10.20201189,1.830048963,217.9218402,6.838578673000001,4
7190,600,210,1.35,1,0.328659514,1,12.34500264,4.312940105,209.9295369,15.705974906,6
7191,300,210,1.04684,1,0.077684705,1,4.676319363,1.602009641,210.0760792,2.232537482000001,6
7192,100,226,1.12739,1,0.088334836,1,7.708326699,1.785244841,226.1186437,4.897360661,4
7193,900,162,1.125,1,0.317546446,1,17.16724726,6.340005231,161.9190349,31.196223022,8
7194,500,170,0.85,1,0.042082346,1,9.664074991,3.175349846,170.0843744,7.298925223999999,8
7195,500,186,0.58511,1,-0.047538876,1,10.70198853,3.934877673,186.0484091,12.034709554000004,6
7196,700,238,1.45888,1,0.421474618,1,19.81877201,6.203364969,237.9645323,40.95686872899999,6
7197,200,214,1.225,1,0.1573313,1,9.084391322,1.830923519,213.9287239,5.810462862,6
7198,700,222,1.13716,1,0.199544068,1,11.15655687,3.933182637,221.9309236,11.922935693,6
7199,1000,166,1.2,1,0.406342021,1,19.11798119,7.279207897,165.9197838,41.022901466,8
7200,500,206,1.42848,1,0.363800166,1,14.07624173,4.305361263,205.9481141,18.474761362,6
7201,700,206,1.05,1,0.157124868,1,9.032322542,3.833622257,205.9708823,9.029183681000005,8
7202,200,222,0.45,1,-0.19859545,1,20.01826479,4.729387121,221.8561936,34.937419718,6
7203,900,186,0.63232,1,0.091600388,1,16.3021543,6.394112785,186.0680553,29.535331954,6
7204,800,222,1.125,1,0.214049847,1,12.37543782,4.535124913,221.9287606,14.991323649000002,6
7205,400,202,0.80545,1,-0.01107485,1,6.453327431,2.391421051,202.0667673,4.742330807,6
7206,200,242,0.575,1,-0.154729687,1,19.11009371,4.250586415,242.098786,30.580112196,4
7207,300,194,0.575,1,-0.116931867,1,12.13830778,3.042720451,194.0565137,11.343046182,6
7208,700,174,0.47751,1,0.032676927,1,16.85374572,6.067783658,174.0282264,30.437790598,6
7209,900,190,1.275,1,0.375780588,1,14.22499799,5.898962395,189.9167459,22.627657323,6
7210,200,234,0.45,1,-0.201375415,1,21.81400653,5.19223728,233.8485722,43.43156841,6
7211,300,182,1.225,1,0.187298556,1,5.906412132,1.941474606,181.949032,3.176470271,6
7212,1000,206,1.06217,1,0.238229185,1,13.61152206,5.831762483,205.9342677,21.624038972,8
7213,900,226,1.25656,1,0.318398836,1,15.35411078,5.527111714,225.9401518,24.875926155,6
7214,400,178,0.625,1,-0.062328882,1,8.42544869,3.050953327,178.0486637,7.270104429,6
7215,1000,222,1.18087,1,0.295934421,1,15.65604398,5.905996018,221.8946137,25.85659554,6
7216,800,170,1.0,1,0.195503775,1,14.23540324,5.204913348,169.939155,20.301541225,8
7217,700,242,0.6,1,-0.030449874,1,18.6734756,5.746626015,242.0949134,35.357730948000004,6
7218,400,202,0.47746,1,-0.113967366,1,16.28031769,4.528912193,201.9944083,23.779842818,6
7219,500,238,0.925,1,0.045572346,1,10.58267444,3.019427931,238.0963684,9.242908646,4
7220,700,186,0.925,1,0.111989335,1,10.08632552,4.101328235,186.0572922,10.729919938999998,8
7221,100,182,1.1,1,0.069741945,1,3.46898251,0.876313491,182.1021022,0.7992469929999999,8
7222,700,226,1.675,1,0.677626971,1,24.50561857,8.498215939,225.9689673,72.73050501700001,6
7223,500,214,1.57285,1,0.481466498,1,19.63708802,5.847213583,214.2005393,38.525635179,6
7224,900,178,1.32714,1,0.439800193,1,16.56125302,6.359943688,177.9141235,29.436158054,6
7225,700,230,1.13488,1,0.193537659,1,12.05753537,3.983708282,229.925822,13.452309077,6
7226,700,190,1.09438,1,0.194456031,1,9.567947255,4.044756045,189.9399115,10.007636132,8
7227,800,242,0.66245,1,0.005652927,1,16.8259393,5.68501715,242.1116381,29.868348845,6
7228,1000,166,1.325,1,0.520209971,1,21.07490658,7.867756812,165.9839746,50.616864797,8
7229,600,186,0.45,1,-0.024445221,1,14.78225722,5.660838676,186.0154953,24.429843102,6
7230,400,174,0.675,1,-0.044423887,1,8.487457903,2.838856551,174.0742537,6.519397389,6
7231,600,210,1.15,1,0.193735275,1,8.605206859,3.368947717,209.9269895,7.89270327,6
7232,1000,234,0.95639,1,0.153436342,1,15.88710561,5.536045943,234.0850541,24.964905129,8
7233,900,206,0.6,1,0.056468558,1,16.38235294,6.429087069,206.0741782,30.783014557,6
7234,500,186,1.12513,1,0.168081587,1,7.561602053,2.875486821,185.8915857,5.089553949,6
7235,900,222,1.38155,1,0.420741186,1,17.14519175,6.31880216,221.9209855,32.666513601999995,6
7236,900,186,0.90442,1,0.159797561,1,13.23349684,5.534509517,186.109215,19.77457292,8
7237,200,238,0.475,1,-0.194489862,1,21.71570072,5.149821119,237.956107,42.868970296,4
7238,200,206,1.53206,1,0.343373442,1,17.13654679,3.972585929,206.2064018,23.644760672,6
7239,1000,190,0.825,1,0.156505527,1,14.89073995,6.330068987,190.0806069,25.655688095,8
7240,600,162,0.72493,1,0.039891219,1,12.40244318,4.163325811,162.0521021,13.316499219,6
