Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
1,100,162,1.0,1,0.013747857,1,6.632602488,1.727726945,162.0639536,4.158502378,4
2,100,162,0.975,1,0.001403083,1,6.501499861,1.720403549,162.0695969,3.977281794,4
3,100,162,1.025,1,0.026357837,1,6.496159573,1.71910394,162.0920102,3.9726138240000006,4
4,100,162,0.95,1,-0.010637527,1,6.383521487,1.70114544,162.0798793,3.746936969000001,4
5,100,162,1.05,1,0.039351613,1,6.382220947,1.700821555,162.0852281,3.746267622,4
6,100,162,0.925,1,-0.022590415,1,6.268150826,1.671030194,162.0930486,3.442005189,4
7,100,162,1.075,1,0.052445951,1,6.272762451,1.672211675,162.0756656,3.4466594720000003,4
8,100,162,0.9,1,-0.034440945,1,6.161553081,1.633893809,162.0772294,3.138555034,4
9,100,162,1.1,1,0.065610644,1,6.167575533,1.635441551,162.0536732,3.1448847260000004,4
10,100,162,0.875,1,-0.046217399,1,6.059207935,1.590574546,162.0497971,2.837240347,4
11,100,162,1.125,1,0.078595941,1,6.03672465,1.584665281,162.162498,2.817354388,4
12,100,162,0.85,1,-0.058078853,1,5.945006173,1.539050473,162.0799308,2.522274792,4
13,100,162,1.15,1,0.092155255,1,5.967174338,1.544648881,161.9935343,2.541615832,4
14,100,162,0.825,1,-0.06977601,1,5.843792495,1.487948551,162.063012,2.219039081,4
15,100,162,1.175,1,0.105530154,1,5.873007721,1.495393113,161.943326,2.242912153,4
16,100,162,0.8,1,-0.075252787,1,5.736955625,1.435145141,162.0788625,2.044277483,8
17,100,162,1.2,1,0.125111215,1,5.768524473,1.443203006,161.9507188,2.053736423,8
18,100,162,0.775,1,-0.08682253,1,5.640352448,1.387683327,162.063156,2.041640594,8
19,100,162,1.225,1,0.13855289,1,5.673489747,1.395967359,161.9286743,2.060671816,8
20,100,162,0.75,1,-0.098347319,1,5.544177551,1.34650916,162.0569134,2.0499268610000003,8
21,100,162,1.25,1,0.151983592,1,5.572253513,1.353334523,161.9450045,2.06296029,8
22,100,162,0.725,1,-0.109866755,1,5.445299976,1.314726379,162.0734102,2.064515295,8
23,100,162,1.275,1,0.165592552,1,5.482492015,1.323397948,161.9278276,2.080801162,8
24,100,162,0.7,1,-0.12116931,1,5.360464755,1.300186206,162.0477219,2.0977897810000004,8
25,100,162,1.3,1,0.179134491,1,5.384106965,1.305372422,161.958051,2.1048399680000003,8
26,100,162,0.675,1,-0.132418045,1,5.276142531,1.303375612,162.0356446,2.14306579,8
27,100,162,1.325,1,0.192894907,1,5.299408834,1.308081718,161.9509186,2.148579792,8
28,100,162,0.65,1,-0.143672782,1,5.188308693,1.32671061,162.0519133,2.195288086,8
29,100,162,1.35,1,0.206711413,1,5.215471268,1.331688895,161.9579037,2.2074169990000003,8
30,100,162,0.625,1,-0.154769495,1,5.598114574,1.374454574,162.0540397,2.439306761,8
31,100,162,1.375,1,0.220631673,1,5.585177722,1.378874495,161.9679419,2.438375905,8
32,100,162,0.6,1,-0.165598791,1,6.343837414,1.44783011,162.0261125,2.8779985900000007,8
33,100,162,1.4,1,0.233865226,1,6.28684509,1.652623979,161.9681036,3.018185119,8
34,100,162,0.575,1,-0.177163313,1,7.050151335,1.68966479,162.0160466,3.495615583,8
35,100,162,1.425,1,0.248164021,1,7.045714873,1.689699803,161.9855297,3.492590369,8
36,100,162,0.55,1,-0.187755871,1,7.806217408,1.757833679,162.0146468,4.065504089999999,8
37,100,162,0.525,1,-0.198051656,1,8.55954792,1.856387705,161.9924133,4.755593903,8
38,100,162,0.5,1,-0.207987913,1,9.31114691,1.983881605,161.9552958,5.556325632,8
39,100,162,0.475,1,-0.217740377,1,10.06244277,2.137548094,161.914783,6.471370006,8
40,100,162,0.45,1,-0.227210871,1,10.81173615,2.314716614,161.8573949,7.535900687,8
41,100,162,0.425,1,-0.237020784,1,11.59170837,2.513336815,161.7792666,8.803544857999999,8
42,100,162,0.4,1,-0.240482372,1,12.52942653,2.798636359,161.9482276,10.703421853,6
43,100,162,0.3,1,-0.26964657,1,15.53053617,3.755400903,162.0435241,18.584866419,6
44,100,162,0.275,1,-0.274288579,1,16.28579845,4.022128005,162.0798831,21.106299542,6
45,100,162,0.25,1,-0.276783144,1,17.04045979,4.300066805,162.1108812,23.873404760000003,6
46,100,162,0.225,1,-0.27931943,1,17.80542995,4.58228095,162.2153463,26.904078614000003,6
47,100,162,0.63092,1,-0.152100851,1,5.418745173,1.361541999,162.0418332,2.3559610600000003,8
48,100,162,0.41919,1,-0.234193717,1,11.95070532,2.623226831,161.9784552,9.510142196,6
49,100,162,1.32661,1,0.193789179,1,5.29443222,1.309034756,161.9492941,2.152105494,8
50,100,162,0.94889,1,-0.01115742,1,6.37972752,1.70036104,162.0747811,3.7347351290000006,4
51,100,162,1.09103,1,0.060823693,1,6.198902146,1.647961708,162.0882589,3.2480331950000005,4
52,100,162,0.63536,1,-0.150106439,1,5.284560285,1.352650356,162.0349241,2.2855521590000003,8
53,100,162,1.39024,1,0.228275834,1,5.992008668,1.646422478,161.97104,2.856345299,8
54,100,162,0.89144,1,-0.038531801,1,6.120804098,1.618334179,162.0913725,3.030620539,4
55,100,162,0.41893,1,-0.233339613,1,11.91546737,2.621918654,161.6802746,9.46318904,6
56,100,162,0.8232,1,-0.070674087,1,5.83111312,1.482848956,162.0848035,2.190897852,4
57,100,162,1.33262,1,0.197149282,1,5.277332449,1.313643699,161.9387588,2.166329737,8
58,100,162,0.65708,1,-0.140487417,1,5.213308986,1.31785486,162.0453882,2.179291886,8
59,100,162,1.0196,1,0.023667682,1,6.531608466,1.723828893,162.0552942,4.019730471,4
60,100,162,1.42141,1,0.246120875,1,6.936316749,1.682464337,161.9800354,3.41997679,8
61,100,162,1.41855,1,0.244456469,1,6.849912191,1.677147376,161.9811016,3.364311131,8
62,100,162,0.26039,1,-0.275875319,1,16.72543001,4.183443789,162.0884063,22.688200469,6
63,100,162,1.21987,1,0.135809069,1,5.694979187,1.405764607,161.9239302,2.061702592,8
64,100,162,0.28928,1,-0.271554739,1,15.85171873,3.868990587,162.0405095,19.639162924,6
65,100,162,1.42628,1,0.248813926,1,7.085989654,1.692410584,161.9969252,3.5195033250000005,8
66,100,162,1.06474,1,0.047040831,1,6.314600102,1.684414845,162.0920982,3.567898991,4
67,100,162,1.33461,1,0.198213777,1,5.268117189,1.314743744,161.9482103,2.169636841,8
68,100,162,0.4269,1,-0.237041927,1,11.49308644,2.487793308,161.8420379,8.633931775,8
69,100,162,1.23039,1,0.141445172,1,5.651658332,1.386122276,161.9313575,2.060157694,8
70,100,162,1.21764,1,0.134619341,1,5.704568398,1.410153003,161.9210723,2.062564978,8
71,100,162,0.47381,1,-0.218256502,1,10.09852351,2.145259901,161.9120832,6.51774799,8
72,100,162,0.7907,1,-0.079588543,1,5.698598933,1.416383759,162.0818079,2.040803125,8
73,100,162,0.91292,1,-0.028304488,1,6.21838375,1.654554131,162.0772125,3.297333989,4
74,100,162,1.39059,1,0.228417625,1,6.004045499,1.646513145,161.9813767,2.861802583,8
75,100,162,1.34302,1,0.202855303,1,5.239323924,1.322943419,161.9527836,2.1893935419999995,8
76,100,162,1.06942,1,0.049543799,1,6.299756593,1.680104057,162.0663744,3.51641917,4
77,100,162,1.31786,1,0.188992547,1,5.326047938,1.305817632,161.9423097,2.135680406,8
78,100,166,1.0,1,0.013282307,1,6.029717163,1.560917613,166.0882759,3.517611564,4
79,100,166,0.975,1,0.001010293,1,5.922042976,1.555862533,166.0579347,3.3611806520000003,4
80,100,166,1.025,1,0.026011411,1,5.922144851,1.555886404,166.0573995,3.361150852,4
81,100,166,0.95,1,-0.011092178,1,5.812291476,1.535629932,166.0961218,3.138397366,4
82,100,166,1.05,1,0.038982921,1,5.820904824,1.537778555,166.0597296,3.1455248150000004,4
